gutenberg_id,short_title,character,n_tokens,n_scenes,n_acts,genre,year
1500,"Henry VI, Part 1",BASSET,191,2,2,History,1592
1500,"Henry VI, Part 1",BASTARD,263,4,4,History,1592
1500,"Henry VI, Part 1",BEDFORD,605,2,3,History,1592
1500,"Henry VI, Part 1",BOY,36,1,1,History,1592
1500,"Henry VI, Part 1",BURGUNDY,339,4,4,History,1592
1500,"Henry VI, Part 1",CAPTAIN,54,2,3,History,1592
1500,"Henry VI, Part 1",CHARLES,1134,6,5,History,1592
1500,"Henry VI, Part 1",COUNTESS,352,1,1,History,1592
1500,"Henry VI, Part 1",EXETER,437,2,4,History,1592
1500,"Henry VI, Part 1",FASTOLF,55,2,2,History,1592
1500,"Henry VI, Part 1",FIRST JAILER,30,1,1,History,1592
1500,"Henry VI, Part 1",FIRST SENTINEL,22,1,1,History,1592
1500,"Henry VI, Part 1",FIRST SERVINGMAN,48,2,2,History,1592
1500,"Henry VI, Part 1",FIRST SOLDIER,18,1,1,History,1592
1500,"Henry VI, Part 1",FIRST WARDER,24,1,1,History,1592
1500,"Henry VI, Part 1",GARGRAVE,18,1,1,History,1592
1500,"Henry VI, Part 1",GENERAL,203,1,1,History,1592
1500,"Henry VI, Part 1",GLANSDALE,9,1,1,History,1592
1500,"Henry VI, Part 1",GLOUCESTER,1420,4,4,History,1592
1500,"Henry VI, Part 1",JOHN TALBOT,401,2,1,History,1592
1500,"Henry VI, Part 1",KING HENRY,1329,3,3,History,1592
1500,"Henry VI, Part 1",LAWYER,29,1,1,History,1592
1500,"Henry VI, Part 1",LEGATE,7,1,1,History,1592
1500,"Henry VI, Part 1",LUCY,591,3,1,History,1592
1500,"Henry VI, Part 1",MARGARET,254,1,1,History,1592
1500,"Henry VI, Part 1",MASTER GUNNER,139,1,1,History,1592
1500,"Henry VI, Part 1",MAYOR,151,2,2,History,1592
1500,"Henry VI, Part 1",MESSENGER,705,4,3,History,1592
1500,"Henry VI, Part 1",MORTIMER,656,1,1,History,1592
1500,"Henry VI, Part 1",OFFICER,49,1,1,History,1592
1500,"Henry VI, Part 1",PLANTAGENET,690,3,2,History,1592
1500,"Henry VI, Part 1",PORTER,3,1,1,History,1592
1500,"Henry VI, Part 1",PUCELLE,1994,7,5,History,1592
1500,"Henry VI, Part 1",REIGNIER,638,5,4,History,1592
1500,"Henry VI, Part 1",SALISBURY,113,1,1,History,1592
1500,"Henry VI, Part 1",SCOUT,31,1,1,History,1592
1500,"Henry VI, Part 1",SECOND SERVINGMAN,12,1,1,History,1592
1500,"Henry VI, Part 1",SECOND WARDER,10,1,1,History,1592
1500,"Henry VI, Part 1",SENTINEL,40,1,1,History,1592
1500,"Henry VI, Part 1",SERGEANT,31,1,1,History,1592
1500,"Henry VI, Part 1",SERVANT,10,1,1,History,1592
1500,"Henry VI, Part 1",SERVINGMEN,20,1,1,History,1592
1500,"Henry VI, Part 1",SHEPHERD,202,1,1,History,1592
1500,"Henry VI, Part 1",SOLDIER,34,1,1,History,1592
1500,"Henry VI, Part 1",SOMERSET,515,2,3,History,1592
1500,"Henry VI, Part 1",SUFFOLK,1308,3,2,History,1592
1500,"Henry VI, Part 1",TALBOT,3195,7,4,History,1592
1500,"Henry VI, Part 1",THIRD SERVINGMAN,74,1,1,History,1592
1500,"Henry VI, Part 1",VERNON,237,2,3,History,1592
1500,"Henry VI, Part 1",WARWICK,534,2,4,History,1592
1500,"Henry VI, Part 1",WATCH,4,1,1,History,1592
1500,"Henry VI, Part 1",WINCHESTER,759,3,4,History,1592
1500,"Henry VI, Part 1",WOODVILLE,38,1,1,History,1592
1500,"Henry VI, Part 1",YORK,708,3,2,History,1592
1501,"Henry VI, Part 2",BEADLE,12,1,1,History,1591
1501,"Henry VI, Part 2",BEVIS,110,1,1,History,1591
1501,"Henry VI, Part 2",BOLINGBROKE,191,1,1,History,1591
1501,"Henry VI, Part 2",BROTHER,46,1,1,History,1591
1501,"Henry VI, Part 2",BUCKINGHAM,281,3,3,History,1591
1501,"Henry VI, Part 2",CADE,686,1,1,History,1591
1501,"Henry VI, Part 2",CARDINAL,823,3,3,History,1591
1501,"Henry VI, Part 2",CLERK,18,1,1,History,1591
1501,"Henry VI, Part 2",COMMONS,22,1,1,History,1591
1501,"Henry VI, Part 2",DICK,167,1,1,History,1591
1501,"Henry VI, Part 2",ELEANOR,964,3,2,History,1591
1501,"Henry VI, Part 2",GLOUCESTER,2367,4,3,History,1591
1501,"Henry VI, Part 2",HERALD,17,1,1,History,1591
1501,"Henry VI, Part 2",HOLLAND,114,1,1,History,1591
1501,"Henry VI, Part 2",HORNER,199,1,2,History,1591
1501,"Henry VI, Part 2",HUME,245,2,1,History,1591
1501,"Henry VI, Part 2",KING HENRY,1826,3,3,History,1591
