gutenberg_id,short_title,genre,n_characters
1503,Richard III,History,63
1535,Coriolanus,Tragedy,60
1536,Timon of Athens,Tragedy,59
1534,Antony and Cleopatra,Tragedy,55
1500,"Henry VI, Part 1",History,54
1518,"Henry IV, Part 2",History,48
1522,Julius Caesar,Tragedy,47
1541,Henry VIII,History,47
1521,Henry V,History,46
1537,Pericles,History,45
1501,"Henry VI, Part 2",History,42
1538,Cymbeline,Tragedy,41
1502,"Henry VI, Part 3",History,37
1512,Richard II,History,37
1533,Macbeth,Tragedy,37
1524,Hamlet,Tragedy,35
1516,"Henry IV, Part 1",History,34
1539,Winter's Tale,Comedy,33
1513,Romeo and Juliet,Tragedy,32
1514,A Midsummer Night's Dream,Comedy,31
1528,Troilus and Cressida,Tragedy,29
1511,King John,History,28
1523,As You Like It,Comedy,27
1507,Titus Andronicus,Tragedy,26
1532,King Lear,Tragedy,26
1508,Taming of the Shrew,Comedy,25
1531,Othello,Tragedy,25
1515,Merchant of Venice,Comedy,24
1530,Measure for Measure,Comedy,24
1517,Merry Wives of Windsor,Comedy,23
1519,Much Ado about Nothing,Comedy,23
1529,All's Well That Ends Well,Comedy,22
1540,Tempest,Comedy,20
1526,Twelfth Night,Comedy,19
1504,Comedy of Errors,Comedy,18
1509,Two Gentlemen of Verona,Comedy,18
1510,Love's Labour's Lost,Comedy,18
