character,n_plays,plays
MESSENGER,25,"Henry VI, Part 1; Henry VI, Part 2; Henry VI, Part 3; Richard III; Comedy of Errors; Titus Andronicus; King John; Merchant of Venice; Henry IV, Part 1; Henry IV, Part 2; Much Ado about Nothing; Henry V; Julius Caesar; Hamlet; All's Well That Ends Well; Measure for Measure; Othello; King Lear; Macbeth; Antony and Cleopatra; Coriolanus; Timon of Athens; Pericles; Cymbeline; Henry VIII"
SERVANT,19,"Henry VI, Part 1; Taming of the Shrew; Two Gentlemen of Verona; Richard II; Romeo and Juliet; Merchant of Venice; Henry IV, Part 1; Henry IV, Part 2; Julius Caesar; Hamlet; Twelfth Night; Troilus and Cressida; Measure for Measure; Macbeth; Antony and Cleopatra; Timon of Athens; Pericles; Winter's Tale; Henry VIII"
CAPTAIN,8,"Henry VI, Part 1; Titus Andronicus; Richard II; Hamlet; Twelfth Night; King Lear; Antony and Cleopatra; Cymbeline"
PAGE,8,"Richard III; Taming of the Shrew; Romeo and Juliet; Merry Wives of Windsor; Henry IV, Part 2; All's Well That Ends Well; Timon of Athens; Henry VIII"
DUKE,7,Comedy of Errors; Two Gentlemen of Verona; Merchant of Venice; Twelfth Night; All's Well That Ends Well; Measure for Measure; Othello
FIRST GENTLEMAN,7,All's Well That Ends Well; Measure for Measure; Othello; Pericles; Cymbeline; Winter's Tale; Henry VIII
FIRST LORD,7,As You Like It; All's Well That Ends Well; Coriolanus; Timon of Athens; Pericles; Cymbeline; Winter's Tale
KING,7,"Love's Labour's Lost; Henry IV, Part 1; Henry IV, Part 2; Henry V; Hamlet; All's Well That Ends Well; Henry VIII"
OFFICER,7,"Henry VI, Part 1; Comedy of Errors; Othello; King Lear; Antony and Cleopatra; Coriolanus; Winter's Tale"
SECOND GENTLEMAN,7,All's Well That Ends Well; Measure for Measure; Othello; Pericles; Cymbeline; Winter's Tale; Henry VIII
CLOWN,6,Titus Andronicus; Twelfth Night; All's Well That Ends Well; Othello; Antony and Cleopatra; Winter's Tale
FIRST SERVANT,6,Taming of the Shrew; Romeo and Juliet; King Lear; Antony and Cleopatra; Timon of Athens; Pericles
LORD,6,Love's Labour's Lost; Hamlet; Macbeth; Pericles; Cymbeline; Winter's Tale
LORDS,6,Richard III; Henry V; Hamlet; Macbeth; Coriolanus; Winter's Tale
SECOND LORD,6,As You Like It; All's Well That Ends Well; Coriolanus; Timon of Athens; Pericles; Cymbeline
SOLDIER,6,"Henry VI, Part 1; Henry VI, Part 3; Macbeth; Antony and Cleopatra; Coriolanus; Timon of Athens"
YORK,6,"Henry VI, Part 1; Henry VI, Part 2; Henry VI, Part 3; Richard III; Richard II; Henry V"
ANTONIO,5,Two Gentlemen of Verona; Merchant of Venice; Much Ado about Nothing; Twelfth Night; Tempest
BOY,5,"Henry VI, Part 1; Richard III; Much Ado about Nothing; Henry V; Troilus and Cressida"
FIRST CITIZEN,5,Richard III; King John; Romeo and Juliet; Julius Caesar; Coriolanus
FIRST SOLDIER,5,"Henry VI, Part 1; Julius Caesar; All's Well That Ends Well; Antony and Cleopatra; Coriolanus"
GENTLEMAN,5,Richard III; Hamlet; All's Well That Ends Well; King Lear; Henry VIII
GLOUCESTER,5,"Henry VI, Part 1; Henry VI, Part 2; Henry IV, Part 2; Henry V; King Lear"
HERALD,5,"Henry VI, Part 2; Henry V; Othello; King Lear; Coriolanus"
KING HENRY,5,"Henry VI, Part 1; Henry VI, Part 2; Henry VI, Part 3; Richard II; Henry V"
SALISBURY,5,"Henry VI, Part 1; Henry VI, Part 2; King John; Richard II; Henry V"
SONG,5,Merry Wives of Windsor; As You Like It; Measure for Measure; Cymbeline; Winter's Tale
WARWICK,5,"Henry VI, Part 1; Henry VI, Part 2; Henry VI, Part 3; Henry IV, Part 2; Henry V"
BARDOLPH,4,"Henry IV, Part 1; Merry Wives of Windsor; Henry IV, Part 2; Henry V"
FIRST SENATOR,4,Othello; Coriolanus; Timon of Athens; Cymbeline
FIRST WATCH,4,Romeo and Juliet; Much Ado about Nothing; Antony and Cleopatra; Coriolanus
LUCIUS,4,Titus Andronicus; Julius Caesar; Timon of Athens; Cymbeline
MAYOR,4,"Henry VI, Part 1; Henry VI, Part 2; Henry VI, Part 3; Richard III"
NORTHUMBERLAND,4,"Henry VI, Part 3; Richard II; Henry IV, Part 1; Henry IV, Part 2"
PORTER,4,"Henry VI, Part 1; Henry IV, Part 2; Macbeth; Henry VIII"
PRINCE,4,"Richard III; Romeo and Juliet; Henry IV, Part 1; Henry IV, Part 2"
SECOND SENATOR,4,Othello; Coriolanus; Timon of Athens; Cymbeline
SECOND SERVANT,4,Romeo and Juliet; King Lear; Antony and Cleopatra; Timon of Athens
SECOND SOLDIER,4,Julius Caesar; All's Well That Ends Well; Antony and Cleopatra; Coriolanus
SECOND WATCH,4,Romeo and Juliet; Much Ado about Nothing; Antony and Cleopatra; Coriolanus
ANNE,3,Richard III; Merry Wives of Windsor; Henry VIII
ARCHBISHOP,3,"Richard III; Henry IV, Part 1; Henry IV, Part 2"
BALTHASAR,3,Comedy of Errors; Romeo and Juliet; Much Ado about Nothing
BUCKINGHAM,3,"Henry VI, Part 2; Richard III; Henry VIII"
BURGUNDY,3,"Henry VI, Part 1; Henry V; King Lear"
CHORUS,3,Romeo and Juliet; A Midsummer Night's Dream; Henry V
DEMETRIUS,3,Titus Andronicus; A Midsummer Night's Dream; Antony and Cleopatra
EXETER,3,"Henry VI, Part 1; Henry VI, Part 3; Henry V"
FALSTAFF,3,"Henry IV, Part 1; Merry Wives of Windsor; Henry IV, Part 2"
GOWER,3,"Henry IV, Part 2; Henry V; Pericles"
HASTINGS,3,"Henry VI, Part 3; Richard III; Henry IV, Part 2"
HOSTESS,3,"Henry IV, Part 1; Henry IV, Part 2; Henry V"
KEEPER,3,Richard III; Richard II; Henry VIII
LIEUTENANT,3,"Henry VI, Part 2; Henry VI, Part 3; Coriolanus"
NORFOLK,3,"Henry VI, Part 3; Richard III; Henry VIII"
PETER,3,"Henry VI, Part 2; Taming of the Shrew; Romeo and Juliet"
PISTOL,3,"Merry Wives of Windsor; Henry IV, Part 2; Henry V"
PRIEST,3,Richard III; Hamlet; Twelfth Night
QUEEN,3,Richard II; Hamlet; Cymbeline
QUEEN MARGARET,3,"Henry VI, Part 2; Henry VI, Part 3; Richard III"
