gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,word
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,unknown,NA,NA,NA,NA,the
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,unknown,NA,NA,NA,NA,second
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,unknown,NA,NA,NA,NA,part
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,unknown,NA,NA,NA,NA,of
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,unknown,NA,NA,NA,NA,king
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,unknown,NA,NA,NA,NA,henry
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,unknown,NA,NA,NA,NA,vi
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,directions,NA,NA,NA,NA,by
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,directions,NA,NA,NA,NA,william
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,front_matter,directions,NA,NA,NA,NA,shakespeare
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,NA,NA,NA,NA,contents
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT I,NA,NA,NA,act
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT I,NA,NA,NA,i
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,scene
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,i
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,london
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,the
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,palace
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,scene
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,ii
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,the
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,duke
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,of
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,gloucester’s
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,house
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,scene
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,iii
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,london
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,the
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,palace
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,scene
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,iv
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,gloucester’s
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,directions,ACT I,NA,NA,NA,garden
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,NA,NA,NA,act
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,NA,NA,NA,ii
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE I. Saint Albans,NA,NA,scene
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE I. Saint Albans,NA,NA,i
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE I. Saint Albans,NA,NA,saint
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE I. Saint Albans,NA,NA,albans
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE II. London. The Duke of York’s Garden,NA,NA,scene
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE II. London. The Duke of York’s Garden,NA,NA,ii
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE II. London. The Duke of York’s Garden,NA,NA,london
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE II. London. The Duke of York’s Garden,NA,NA,the
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE II. London. The Duke of York’s Garden,NA,NA,duke
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE II. London. The Duke of York’s Garden,NA,NA,of
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE II. London. The Duke of York’s Garden,NA,NA,york’s
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE II. London. The Duke of York’s Garden,NA,NA,garden
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE III. A Hall of Justice,NA,NA,scene
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE III. A Hall of Justice,NA,NA,iii
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE III. A Hall of Justice,NA,NA,a
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE III. A Hall of Justice,NA,NA,hall
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE III. A Hall of Justice,NA,NA,of
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE III. A Hall of Justice,NA,NA,justice
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE IV. A Street,NA,NA,scene
1501,"King Henry VI, the second part","King Henry VI, the second part",NA,NA,William Shakespeare,contents,reference,ACT II,SCENE IV. A Street,NA,NA,iv
