short_title,word,n,total,tf,idf,tf_idf
Julius Caesar,caesar,183,6493,0.028184198367472664,1.0986122886681098,0.030963506672765147
Othello,cassio,112,8548,0.013102480112306972,2.1972245773362196,0.02878909132681991
Julius Caesar,cassius,77,6493,0.011858924996149699,2.1972245773362196,0.026056721462326952
Julius Caesar,brutus,148,6493,0.022793777914677345,1.0986122886681098,0.025041524522236295
As You Like It,rosalind,60,6863,0.008742532420224393,2.1972245773362196,0.01920930710187574
Much Ado about Nothing,benedick,53,6592,0.00804004854368932,2.1972245773362196,0.017665792263170454
Hamlet,hamlet,76,10286,0.007388683647676453,2.1972245773362196,0.016234597304836933
Othello,iago,63,8548,0.007370145063172672,2.1972245773362196,0.0161938638713362
Julius Caesar,antony,65,6493,0.01001078084090559,1.5040773967762742,0.015056989186887082
Much Ado about Nothing,beatrice,43,6592,0.006523058252427184,2.1972245773362196,0.014332623911628858
Much Ado about Nothing,claudio,60,6592,0.009101941747572815,1.5040773967762742,0.013690024849298611
Much Ado about Nothing,hero,57,6592,0.008646844660194174,1.5040773967762742,0.01300552360683368
Merchant of Venice,bassanio,36,6993,0.005148005148005148,2.1972245773362196,0.011311323435450294
As You Like It,orlando,35,6863,0.0050998105784642285,2.1972245773362196,0.011205429142760846
"Henry IV, Part 1",percy,40,8578,0.004663091629750525,2.1972245773362196,0.01024585953525866
Tempest,ariel,27,5859,0.004608294930875576,2.1972245773362196,0.010125458881733732
Othello,desdemona,39,8548,0.004562470753392607,2.1972245773362196,0.010024772872731933
"Henry IV, Part 1",hal,37,8578,0.004313359757519235,2.1972245773362196,0.00947742007011426
Merchant of Venice,jew,57,6993,0.008151008151008152,1.0986122886681098,0.008954797719731483
Richard III,clarence,43,10722,0.0040104458123484425,2.1972245773362196,0.008811850104967118
Richard III,edward,43,10722,0.0040104458123484425,2.1972245773362196,0.008811850104967118
Merchant of Venice,launcelet,28,6993,0.004004004004004004,2.1972245773362196,0.008797696005350228
Julius Caesar,casca,25,6493,0.003850300323425227,2.1972245773362196,0.008459974500755505
Richard III,richmond,39,10722,0.0036373810856183547,2.1972245773362196,0.007992143118458549
Tempest,prospero,21,5859,0.0035842293906810036,2.1972245773362196,0.007875356908015123
Much Ado about Nothing,leonato,23,6592,0.003489077669902913,2.1972245773362196,0.007666287208545669
Richard III,buckingham,37,10722,0.003450848722253311,2.1972245773362196,0.007582289625204264
Merchant of Venice,lorenzo,24,6993,0.003432003432003432,2.1972245773362196,0.007540882290300196
Tempest,milan,20,5859,0.0034135518006485747,2.1972245773362196,0.007500339912395355
As You Like It,phoebe,23,6863,0.00335130409441935,2.1972245773362196,0.007363567722385699
Merchant of Venice,antonio,46,6993,0.006578006578006578,1.0986122886681098,0.007226678861537688
Othello,roderigo,28,8548,0.003275620028076743,2.1972245773362196,0.007197272831704978
Julius Caesar,messala,21,6493,0.0032342522716771907,2.1972245773362196,0.007106378580634623
Julius Caesar,octavius,21,6493,0.0032342522716771907,2.1972245773362196,0.007106378580634623
Hamlet,laertes,33,10286,0.00320824421543846,2.1972245773362196,0.007049233040258142
Richard III,hastings,34,10722,0.003171050177205745,2.1972245773362196,0.006967509385322838
"Henry IV, Part 1",mortimer,27,8578,0.003147586850081604,2.1972245773362196,0.006915955186299595
Richard III,richard,49,10722,0.004570042902443574,1.5040773967762742,0.006873698231863219
Julius Caesar,titinius,20,6493,0.0030802402587401818,2.1972245773362196,0.006767979600604403
"Henry IV, Part 1",douglas,26,8578,0.003031009559337841,2.1972245773362196,0.006659808697918129
Hamlet,horatio,31,10286,0.0030138051720785533,2.1972245773362196,0.006622006795394012
Merchant of Venice,jessica,21,6993,0.003003003003003003,2.1972245773362196,0.006598272004012671
Julius Caesar,rome,38,6493,0.005852456491606346,1.0986122886681098,0.006429580620574184
Othello,othello,25,8548,0.002924660739354235,2.1972245773362196,0.006426136456879444
"Henry IV, Part 1",harry,36,8578,0.004196782466775472,1.5040773967762742,0.006312285647463963
Julius Caesar,caesar's,37,6493,0.005698444478669336,1.0986122886681098,0.006260381130559074
Julius Caesar,lucius,18,6493,0.0027722162328661635,2.1972245773362196,0.006091181640543963
Tempest,ferdinand,16,5859,0.00273084144051886,2.1972245773362196,0.006000271929916285
Tempest,trinculo,16,5859,0.00273084144051886,2.1972245773362196,0.006000271929916285
Much Ado about Nothing,don,18,6592,0.0027305825242718447,2.1972245773362196,0.005999703032774872
Merchant of Venice,nerissa,19,6993,0.002717002717002717,2.1972245773362196,0.005969865146487655
Othello,cyprus,23,8548,0.0026906878802058962,2.1972245773362196,0.005912045540329089
Julius Caesar,romans,17,6493,0.0026182042199291546,2.1972245773362196,0.005752782660513743
As You Like It,shepherd,25,6863,0.003642721841760163,1.5040773967762742,0.005478935584934701
Tempest,naples,21,5859,0.0035842293906810036,1.5040773967762742,0.005390958411384495
Merchant of Venice,shylock,17,6993,0.002431002431002431,2.1972245773362196,0.005341458288962639
Othello,moor,56,8548,0.006551240056153486,0.8109302162163288,0.0053125985152216205
Much Ado about Nothing,signior,42,6592,0.006371359223300971,0.8109302162163288,0.005166727712543357
"Henry IV, Part 1",falstaff,20,8578,0.0023315458148752623,2.1972245773362196,0.00512292976762933
Richard III,catesby,24,10722,0.002238388360380526,2.1972245773362196,0.004918241919051415
Hamlet,ophelia,23,10286,0.002236048998638927,2.1972245773362196,0.0049131018159374925
As You Like It,audrey,15,6863,0.002185633105056098,2.1972245773362196,0.004802326775468935
Merchant of Venice,ducats,30,6993,0.00429000429000429,1.0986122886681098,0.004713051431437622
Richard III,edward's,22,10722,0.0020518559970154823,2.1972245773362196,0.0045083884257971305
Richard III,gloucester,22,10722,0.0020518559970154823,2.1972245773362196,0.0045083884257971305
Tempest,caliban,12,5859,0.002048131080389145,2.1972245773362196,0.004500203947437213
Julius Caesar,caius,13,6493,0.002002156168181118,2.1972245773362196,0.004399186740392862
Julius Caesar,cinna,13,6493,0.002002156168181118,2.1972245773362196,0.004399186740392862
Tempest,island,17,5859,0.0029015190305512885,1.5040773967762742,0.004364109190168401
"Henry IV, Part 1",glendower,17,8578,0.001981813942643973,2.1972245773362196,0.00435449030248493
Tempest,monster,43,5859,0.007339136371394436,0.5877866649021191,0.0043138464910037755
Julius Caesar,capitol,18,6493,0.0027722162328661635,1.5040773967762742,0.004169627774830269
As You Like It,silvius,13,6863,0.0018942153577152848,2.1972245773362196,0.004162016538739742
Tempest,stephano,16,5859,0.00273084144051886,1.5040773967762742,0.004107396884864377
Much Ado about Nothing,margaret,18,6592,0.0027305825242718447,1.5040773967762742,0.004107007454789584
Julius Caesar,lucilius,12,6493,0.001848144155244109,2.1972245773362196,0.0040607877603626415
Hamlet,denmark,19,10286,0.0018471709119191133,2.1972245773362196,0.004058649326209233
"Henry IV, Part 1",francis,22,8578,0.0025647003963627886,1.5040773967762742,0.0038575078956724217
"Henry IV, Part 1",sack,22,8578,0.0025647003963627886,1.5040773967762742,0.0038575078956724217
As You Like It,forest,24,6863,0.0034970129680897567,1.0986122886681098,0.0038418614203751473
Richard III,tower,27,10722,0.002518186905428092,1.5040773967762742,0.003787548005312386
Tempest,gonzalo,10,5859,0.0017067759003242873,2.1972245773362196,0.0037501699561976777
Tempest,sebastian,10,5859,0.0017067759003242873,2.1972245773362196,0.0037501699561976777
Julius Caesar,philippi,11,6493,0.0016941321423071,2.1972245773362196,0.003722388780332422
Othello,emilia,14,8548,0.0016378100140383716,2.1972245773362196,0.003598636415852489
Othello,handkerchief,28,8548,0.003275620028076743,1.0986122886681098,0.003598636415852489
"Henry IV, Part 1",poins,14,8578,0.0016320820704126837,2.1972245773362196,0.003586050837340531
"Henry IV, Part 1",wales,20,8578,0.0023315458148752623,1.5040773967762742,0.0035068253597022015
Richard III,stanley,17,10722,0.0015855250886028726,2.1972245773362196,0.003483754692661419
Merchant of Venice,chooseth,11,6993,0.001573001573001573,2.1972245773362196,0.0034562377163875895
Julius Caesar,cimber,10,6493,0.0015401201293700909,2.1972245773362196,0.0033839898003022017
Julius Caesar,metellus,10,6493,0.0015401201293700909,2.1972245773362196,0.0033839898003022017
Tempest,tunis,9,5859,0.0015360983102918587,2.1972245773362196,0.0033751529605779104
Richard III,york,24,10722,0.002238388360380526,1.5040773967762742,0.0033667093380554546
Merchant of Venice,bond,39,6993,0.005577005577005577,0.5877866649021191,0.0032780895082486264
Merchant of Venice,portia,15,6993,0.002145002145002145,1.5040773967762742,0.00322624924233435
Much Ado about Nothing,prince's,14,6592,0.00212378640776699,1.5040773967762742,0.0031943391315030095
Merchant of Venice,jew's,10,6993,0.00143000143000143,2.1972245773362196,0.003142034287625082
"Henry IV, Part 1",jack,33,8578,0.003847050594544183,0.8109302162163288,0.0031196895704288705
Richard III,rivers,15,10722,0.0013989927252378287,2.1972245773362196,0.003073901199407134
"Henry IV, Part 1",scot,12,8578,0.0013989274889251574,2.1972245773362196,0.0030737578605775978
"Henry IV, Part 1",westmoreland,12,8578,0.0013989274889251574,2.1972245773362196,0.0030737578605775978
Julius Caesar,decius,9,6493,0.0013861081164330818,2.1972245773362196,0.0030455908202719813
Julius Caesar,pindarus,9,6493,0.0013861081164330818,2.1972245773362196,0.0030455908202719813
Julius Caesar,publius,9,6493,0.0013861081164330818,2.1972245773362196,0.0030455908202719813
Merchant of Venice,gratiano,14,6993,0.002002002002002002,1.5040773967762742,0.00301116595951206
Tempest,miranda,8,5859,0.00136542072025943,2.1972245773362196,0.0030001359649581426
Much Ado about Nothing,messina,9,6592,0.0013652912621359224,2.1972245773362196,0.002999851516387436
Merchant of Venice,venice,19,6993,0.002717002717002717,1.0986122886681098,0.0029849325732438274
As You Like It,oliver,9,6863,0.0013113798630336587,2.1972245773362196,0.0028813960652813602
Richard III,dorset,14,10722,0.0013057265435553068,2.1972245773362196,0.0028689744527799917
Richard III,ratcliffe,14,10722,0.0013057265435553068,2.1972245773362196,0.0028689744527799917
Merchant of Venice,tubal,9,6993,0.001287001287001287,2.1972245773362196,0.0028278308588625734
Tempest,cell,11,5859,0.0018774534903567162,1.5040773967762742,0.0028238353583442594
"Henry IV, Part 1",worcester,11,8578,0.0012823501981813943,2.1972245773362196,0.0028176113721961314
Merchant of Venice,clerk,13,6993,0.0018590018590018591,1.5040773967762742,0.0027960826766897707
Hamlet,guildenstern,13,10286,0.0012638537818393933,2.1972245773362196,0.0027769705916168433
Othello,lieutenant,29,8548,0.0033926064576509127,0.8109302162163288,0.002751167088239768
Much Ado about Nothing,friar,12,6592,0.0018203883495145632,1.5040773967762742,0.0027380049698597225
Julius Caesar,cicero,8,6493,0.0012320961034960726,2.1972245773362196,0.002707191840241761
Julius Caesar,strato,8,6493,0.0012320961034960726,2.1972245773362196,0.002707191840241761
Much Ado about Nothing,pedro,8,6592,0.0012135922330097086,2.1972245773362196,0.002666534681233276
As You Like It,charles,12,6863,0.0017485064840448783,1.5040773967762742,0.0026298890807686564
Tempest,isle,14,5859,0.0023894862604540022,1.0986122886681098,0.0026251189693383744
Tempest,sycorax,7,5859,0.0011947431302270011,2.1972245773362196,0.0026251189693383744
Othello,brabantio,10,8548,0.001169864295741694,2.1972245773362196,0.0025704545827517776
Othello,cassio's,10,8548,0.001169864295741694,2.1972245773362196,0.0025704545827517776
Othello,othello's,10,8548,0.001169864295741694,2.1972245773362196,0.0025704545827517776
Hamlet,fortinbras,12,10286,0.00116663426015944,2.1972245773362196,0.0025633574691847788
Hamlet,gertrude,12,10286,0.00116663426015944,2.1972245773362196,0.0025633574691847788
Hamlet,norway,12,10286,0.00116663426015944,2.1972245773362196,0.0025633574691847788
"Henry IV, Part 1",bardolph,10,8578,0.0011657729074376311,2.1972245773362196,0.002561464883814665
As You Like It,ganymede,8,6863,0.0011656709893632523,2.1972245773362196,0.002561240946916765
As You Like It,jaques,8,6863,0.0011656709893632523,2.1972245773362196,0.002561240946916765
As You Like It,wrestling,8,6863,0.0011656709893632523,2.1972245773362196,0.002561240946916765
Merchant of Venice,bellario,8,6993,0.001144001144001144,2.1972245773362196,0.0025136274301000654
Merchant of Venice,sola,8,6993,0.001144001144001144,2.1972245773362196,0.0025136274301000654
"Henry IV, Part 1",john,36,8578,0.004196782466775472,0.5877866649021191,0.002466812769465643
Much Ado about Nothing,prince,40,6592,0.006067961165048544,0.4054651081081644,0.0024603465297825507
Richard III,mayor,12,10722,0.001119194180190263,2.1972245773362196,0.0024591209595257076
Julius Caesar,claudius,7,6493,0.0010780840905590637,2.1972245773362196,0.0023687928602115415
Julius Caesar,ides,7,6493,0.0010780840905590637,2.1972245773362196,0.0023687928602115415
Julius Caesar,ligarius,7,6493,0.0010780840905590637,2.1972245773362196,0.0023687928602115415
Julius Caesar,trebonius,7,6493,0.0010780840905590637,2.1972245773362196,0.0023687928602115415
Julius Caesar,volumnius,7,6493,0.0010780840905590637,2.1972245773362196,0.0023687928602115415
Much Ado about Nothing,hero's,7,6592,0.001061893203883495,2.1972245773362196,0.0023332178460791168
Much Ado about Nothing,leonato's,7,6592,0.001061893203883495,2.1972245773362196,0.0023332178460791168
"Henry IV, Part 1",hotspur,9,8578,0.001049195616693868,2.1972245773362196,0.0023053183954331985
"Henry IV, Part 1",lad,9,8578,0.001049195616693868,2.1972245773362196,0.0023053183954331985
"Henry IV, Part 1",welsh,9,8578,0.001049195616693868,2.1972245773362196,0.0023053183954331985
