act_scene,sentiment_score,lexicon
I.I,17,Bing
I.II,7,Bing
I.III,19,Bing
II.I,42,Bing
II.II,0,Bing
II.III,42,Bing
II.IV,18,Bing
II.V,14,Bing
III.I,5,Bing
III.II,-3,Bing
III.III,11,Bing
III.IV,11,Bing
III.V,3,Bing
III.VI,15,Bing
III.VII,13,Bing
IV.I,-6,Bing
IV.II,10,Bing
IV.III,7,Bing
IV.IV,14,Bing
IV.V,21,Bing
V.I,3,Bing
V.II,-8,Bing
V.III,12,Bing
I.I,54,AFINN
I.II,6,AFINN
I.III,119,AFINN
II.I,115,AFINN
II.II,8,AFINN
II.III,118,AFINN
II.IV,44,AFINN
II.V,51,AFINN
III.I,17,AFINN
III.II,17,AFINN
III.III,26,AFINN
III.IV,16,AFINN
III.V,16,AFINN
III.VI,16,AFINN
III.VII,16,AFINN
IV.I,-8,AFINN
IV.II,37,AFINN
IV.III,30,AFINN
IV.IV,15,AFINN
IV.V,39,AFINN
V.I,26,AFINN
V.II,17,AFINN
V.III,78,AFINN
I.I,59,NRC
I.II,25,NRC
I.III,74,NRC
II.I,61,NRC
II.II,17,NRC
II.III,91,NRC
II.IV,29,NRC
II.V,44,NRC
III.I,2,NRC
III.II,23,NRC
III.III,14,NRC
III.IV,10,NRC
III.V,24,NRC
III.VI,25,NRC
III.VII,19,NRC
IV.I,9,NRC
IV.II,17,NRC
IV.III,94,NRC
IV.IV,12,NRC
IV.V,42,NRC
V.I,19,NRC
V.II,16,NRC
V.III,71,NRC
