act_scene,sentiment_score,lexicon
I.I,9,Bing
I.II,-13,Bing
I.III,-1,Bing
I.IV,-9,Bing
I.V,19,Bing
II.I,0,Bing
II.II,43,Bing
II.III,13,Bing
II.IV,2,Bing
II.V,22,Bing
II.VI,18,Bing
II.VII,-3,Bing
III.I,7,Bing
III.II,22,Bing
III.III,16,Bing
III.IV,-1,Bing
III.V,-5,Bing
III.VI,4,Bing
III.VII,4,Bing
III.VIII,-1,Bing
III.X,1,Bing
III.XI,8,Bing
III.XII,-1,Bing
III.XIII,-3,Bing
IV.I,-4,Bing
IV.II,4,Bing
IV.III,10,Bing
IV.IV,24,Bing
IV.IX,-12,Bing
IV.V,4,Bing
IV.VI,1,Bing
IV.VII,8,Bing
IV.VIII,11,Bing
IV.X,1,Bing
IV.XI,3,Bing
IV.XII,-2,Bing
IV.XIII,-2,Bing
IV.XIV,-23,Bing
IV.XV,-12,Bing
V.I,-3,Bing
V.II,10,Bing
I.I,39,AFINN
I.II,2,AFINN
I.III,18,AFINN
I.IV,20,AFINN
I.V,55,AFINN
II.I,14,AFINN
II.II,89,AFINN
II.III,40,AFINN
II.IV,9,AFINN
II.V,45,AFINN
II.VI,56,AFINN
II.VII,25,AFINN
III.I,12,AFINN
III.II,41,AFINN
III.III,19,AFINN
III.IV,29,AFINN
III.IX,-1,AFINN
III.V,-10,AFINN
III.VI,24,AFINN
III.VII,5,AFINN
III.VIII,-3,AFINN
III.X,4,AFINN
III.XI,2,AFINN
III.XII,10,AFINN
III.XIII,33,AFINN
IV.I,-9,AFINN
IV.II,0,AFINN
IV.III,25,AFINN
IV.IV,45,AFINN
IV.IX,-5,AFINN
IV.V,9,AFINN
IV.VI,7,AFINN
IV.VII,15,AFINN
IV.VIII,32,AFINN
IV.X,0,AFINN
IV.XI,5,AFINN
IV.XII,-3,AFINN
IV.XIII,-6,AFINN
IV.XIV,-34,AFINN
IV.XV,23,AFINN
V.I,4,AFINN
V.II,64,AFINN
I.I,2,NRC
I.II,19,NRC
I.III,6,NRC
I.IV,1,NRC
I.V,13,NRC
II.I,4,NRC
II.II,63,NRC
II.III,18,NRC
II.IV,7,NRC
II.V,14,NRC
II.VI,49,NRC
II.VII,20,NRC
III.I,13,NRC
III.II,23,NRC
III.III,19,NRC
III.IV,1,NRC
III.IX,-1,NRC
III.V,6,NRC
III.VI,18,NRC
III.VII,18,NRC
III.VIII,3,NRC
III.X,6,NRC
III.XI,13,NRC
III.XII,0,NRC
III.XIII,17,NRC
IV.I,-7,NRC
IV.II,4,NRC
IV.III,15,NRC
IV.IV,20,NRC
IV.IX,-2,NRC
IV.V,7,NRC
IV.VI,3,NRC
IV.VII,7,NRC
IV.VIII,10,NRC
IV.X,2,NRC
IV.XI,1,NRC
IV.XII,-3,NRC
IV.XIII,3,NRC
IV.XIV,-6,NRC
IV.XV,0,NRC
V.I,6,NRC
V.II,33,NRC
