act_scene,sentiment_score,lexicon
I.I,24,Bing
I.II,-1,Bing
I.III,25,Bing
I.IV,-10,Bing
I.IX,16,Bing
I.V,5,Bing
I.VI,-2,Bing
I.VII,-2,Bing
I.VIII,-2,Bing
I.X,-4,Bing
II.I,48,Bing
II.II,24,Bing
II.III,-19,Bing
III.I,-15,Bing
III.II,8,Bing
III.III,-11,Bing
IV.I,4,Bing
IV.II,3,Bing
IV.III,13,Bing
IV.IV,-3,Bing
IV.V,-24,Bing
IV.VI,4,Bing
IV.VII,-3,Bing
V.I,-1,Bing
V.II,2,Bing
V.III,13,Bing
V.IV,16,Bing
V.V,5,Bing
V.VI,-11,Bing
I.I,102,AFINN
I.II,-2,AFINN
I.III,86,AFINN
I.IV,-8,AFINN
I.IX,26,AFINN
I.V,10,AFINN
I.VI,2,AFINN
I.VII,0,AFINN
I.VIII,-20,AFINN
I.X,5,AFINN
II.I,101,AFINN
II.II,83,AFINN
II.III,39,AFINN
III.I,3,AFINN
III.II,34,AFINN
III.III,11,AFINN
IV.I,28,AFINN
IV.II,7,AFINN
IV.III,15,AFINN
IV.IV,14,AFINN
IV.V,6,AFINN
IV.VI,32,AFINN
IV.VII,-5,AFINN
V.I,27,AFINN
V.II,-1,AFINN
V.III,87,AFINN
V.IV,56,AFINN
V.V,16,AFINN
V.VI,-6,AFINN
I.I,54,NRC
I.II,-2,NRC
I.III,45,NRC
I.IV,-4,NRC
I.IX,15,NRC
I.V,5,NRC
I.VI,-5,NRC
I.VII,0,NRC
I.VIII,-8,NRC
I.X,4,NRC
II.I,35,NRC
II.II,27,NRC
II.III,56,NRC
III.I,2,NRC
III.II,24,NRC
III.III,5,NRC
IV.I,9,NRC
IV.II,4,NRC
IV.III,16,NRC
IV.IV,0,NRC
IV.V,34,NRC
IV.VI,19,NRC
IV.VII,14,NRC
V.I,10,NRC
V.II,36,NRC
V.III,51,NRC
V.IV,24,NRC
V.V,-1,NRC
V.VI,2,NRC
