act_scene,sentiment_score,lexicon
I.I,0,Bing
I.II,-13,Bing
I.III,-5,Bing
I.IV,5,Bing
I.V,13,Bing
I.VI,-3,Bing
I.VII,18,Bing
II.I,-9,Bing
II.II,2,Bing
II.III,10,Bing
II.IV,15,Bing
II.V,-7,Bing
III.I,2,Bing
III.II,3,Bing
III.III,-5,Bing
III.IV,-20,Bing
III.V,9,Bing
III.VI,-10,Bing
III.VII,2,Bing
III.VIII,-2,Bing
IV.I,0,Bing
IV.II,-31,Bing
IV.III,-6,Bing
IV.IV,-9,Bing
V.I,-8,Bing
V.II,-3,Bing
V.III,-26,Bing
V.IV,8,Bing
V.V,3,Bing
I.I,11,AFINN
I.II,-6,AFINN
I.III,-22,AFINN
I.IV,14,AFINN
I.V,61,AFINN
I.VI,7,AFINN
I.VII,92,AFINN
II.I,-4,AFINN
II.II,13,AFINN
II.III,39,AFINN
II.IV,50,AFINN
II.V,-6,AFINN
III.I,18,AFINN
III.II,40,AFINN
III.III,27,AFINN
III.IV,2,AFINN
III.V,38,AFINN
III.VI,11,AFINN
III.VII,19,AFINN
III.VIII,-2,AFINN
IV.I,4,AFINN
IV.II,-60,AFINN
IV.III,7,AFINN
IV.IV,1,AFINN
V.I,-5,AFINN
V.II,-6,AFINN
V.III,-31,AFINN
V.IV,55,AFINN
V.V,59,AFINN
I.I,24,NRC
I.II,4,NRC
I.III,-3,NRC
I.IV,2,NRC
I.V,51,NRC
I.VI,10,NRC
I.VII,58,NRC
II.I,-3,NRC
II.II,10,NRC
II.III,36,NRC
II.IV,36,NRC
II.V,-4,NRC
III.I,18,NRC
III.II,21,NRC
III.III,3,NRC
III.IV,20,NRC
III.V,25,NRC
III.VI,-5,NRC
III.VII,17,NRC
III.VIII,1,NRC
IV.I,3,NRC
IV.II,13,NRC
IV.III,5,NRC
IV.IV,6,NRC
V.I,-8,NRC
V.II,0,NRC
V.III,-23,NRC
V.IV,44,NRC
V.V,101,NRC
