act_scene,sentiment_score,lexicon
I.I,2,Bing
I.II,-11,Bing
I.III,6,Bing
I.IV,-17,Bing
I.V,-11,Bing
II.I,-6,Bing
II.II,30,Bing
III.I,13,Bing
III.II,-8,Bing
III.III,-10,Bing
III.IV,-11,Bing
IV.I,-9,Bing
IV.II,0,Bing
IV.III,1,Bing
IV.IV,3,Bing
IV.V,-10,Bing
IV.VI,-1,Bing
IV.VII,1,Bing
V.I,-19,Bing
V.II,13,Bing
I.I,0,AFINN
I.II,35,AFINN
I.III,37,AFINN
I.IV,-26,AFINN
I.V,13,AFINN
II.I,-17,AFINN
II.II,151,AFINN
III.I,34,AFINN
III.II,35,AFINN
III.III,1,AFINN
III.IV,7,AFINN
IV.I,-13,AFINN
IV.II,4,AFINN
IV.III,17,AFINN
IV.IV,9,AFINN
IV.V,13,AFINN
IV.VI,8,AFINN
IV.VII,-3,AFINN
V.I,-56,AFINN
V.II,50,AFINN
I.I,20,NRC
I.II,28,NRC
I.III,26,NRC
I.IV,3,NRC
I.V,8,NRC
II.I,23,NRC
II.II,125,NRC
III.I,31,NRC
III.II,82,NRC
III.III,-2,NRC
III.IV,16,NRC
IV.I,-5,NRC
IV.II,4,NRC
IV.III,2,NRC
IV.IV,19,NRC
IV.V,38,NRC
IV.VI,4,NRC
IV.VII,6,NRC
V.I,9,NRC
V.II,58,NRC
