act_scene,sentiment_score,lexicon
I.I,-2,Bing
I.II,4,Bing
I.III,-31,Bing
II.I,-3,Bing
II.II,-20,Bing
II.III,4,Bing
II.IV,-42,Bing
III.I,12,Bing
III.II,1,Bing
III.III,4,Bing
IV.I,20,Bing
IV.II,-17,Bing
IV.III,5,Bing
IV.IV,1,Bing
V.I,8,Bing
V.II,-3,Bing
V.III,-4,Bing
V.IV,-12,Bing
V.V,12,Bing
I.I,-6,AFINN
I.II,8,AFINN
I.III,-8,AFINN
II.I,12,AFINN
II.II,-2,AFINN
II.III,47,AFINN
II.IV,51,AFINN
III.I,39,AFINN
III.II,49,AFINN
III.III,37,AFINN
IV.I,61,AFINN
IV.II,-19,AFINN
IV.III,26,AFINN
IV.IV,10,AFINN
V.I,28,AFINN
V.II,33,AFINN
V.III,6,AFINN
V.IV,15,AFINN
V.V,25,AFINN
I.I,4,NRC
I.II,30,NRC
I.III,15,NRC
II.I,14,NRC
II.II,-6,NRC
II.III,16,NRC
II.IV,64,NRC
III.I,52,NRC
III.II,47,NRC
III.III,41,NRC
IV.I,10,NRC
IV.II,-1,NRC
IV.III,45,NRC
IV.IV,15,NRC
V.I,32,NRC
V.II,15,NRC
V.III,11,NRC
V.IV,31,NRC
V.V,10,NRC
