act_scene,sentiment_score,lexicon
I.I,16,Bing
I.II,47,Bing
II.I,-4,Bing
II.II,-15,Bing
II.III,3,Bing
II.IV,-11,Bing
III.I,-4,Bing
III.II,1,Bing
III.III,-14,Bing
III.IV,-8,Bing
III.V,-4,Bing
III.VI,7,Bing
III.VII,5,Bing
IV.I,0,Bing
IV.II,-21,Bing
IV.III,4,Bing
IV.IV,-1,Bing
IV.V,-14,Bing
IV.VI,4,Bing
IV.VII,9,Bing
IV.VIII,-1,Bing
V.I,-11,Bing
V.II,103,Bing
V.VIII,14,Bing
I.I,28,AFINN
I.II,89,AFINN
II.I,-10,AFINN
II.II,9,AFINN
II.III,-6,AFINN
II.IV,-33,AFINN
III.I,-1,AFINN
III.II,-9,AFINN
III.III,-3,AFINN
III.IV,5,AFINN
III.V,0,AFINN
III.VI,20,AFINN
III.VII,34,AFINN
IV.I,14,AFINN
IV.II,-21,AFINN
IV.III,48,AFINN
IV.IV,13,AFINN
IV.V,-21,AFINN
IV.VI,6,AFINN
IV.VII,36,AFINN
IV.VIII,24,AFINN
V.I,-4,AFINN
V.II,300,AFINN
V.VIII,28,AFINN
I.I,38,NRC
I.II,111,NRC
II.I,-1,NRC
II.II,23,NRC
II.III,3,NRC
II.IV,14,NRC
III.I,2,NRC
III.II,15,NRC
III.III,-10,NRC
III.IV,5,NRC
III.V,4,NRC
III.VI,41,NRC
III.VII,19,NRC
IV.I,64,NRC
IV.II,-21,NRC
IV.III,12,NRC
IV.IV,-1,NRC
IV.V,-12,NRC
IV.VI,6,NRC
IV.VII,40,NRC
IV.VIII,48,NRC
V.I,29,NRC
V.II,206,NRC
V.VIII,27,NRC
