act_scene,sentiment_score,lexicon
I.I,-22,Bing
I.II,0,Bing
I.III,-33,Bing
I.IV,-39,Bing
II.I,9,Bing
II.II,3,Bing
II.III,-13,Bing
II.IV,-3,Bing
II.V,-18,Bing
II.VI,-35,Bing
III.I,-7,Bing
III.II,26,Bing
III.III,28,Bing
IV.I,1,Bing
IV.II,9,Bing
IV.III,1,Bing
IV.IV,-8,Bing
IV.V,1,Bing
IV.VI,23,Bing
IV.VII,24,Bing
IV.VIII,9,Bing
V.I,-3,Bing
V.II,-6,Bing
V.III,4,Bing
V.IV,-17,Bing
V.V,-9,Bing
V.VI,-31,Bing
V.VII,20,Bing
I.I,-40,AFINN
I.II,17,AFINN
I.III,-49,AFINN
I.IV,-58,AFINN
II.I,38,AFINN
II.II,11,AFINN
II.III,-16,AFINN
II.IV,-9,AFINN
II.V,-52,AFINN
II.VI,-28,AFINN
III.I,-3,AFINN
III.II,72,AFINN
III.III,94,AFINN
IV.I,21,AFINN
IV.II,22,AFINN
IV.III,2,AFINN
IV.IV,-13,AFINN
IV.V,3,AFINN
IV.VI,43,AFINN
IV.VII,22,AFINN
IV.VIII,28,AFINN
V.I,23,AFINN
V.II,-1,AFINN
V.III,14,AFINN
V.IV,-15,AFINN
V.V,-5,AFINN
V.VI,-47,AFINN
V.VII,50,AFINN
I.I,44,NRC
I.II,20,NRC
I.III,-16,NRC
I.IV,-17,NRC
II.I,64,NRC
II.II,26,NRC
II.III,-8,NRC
II.IV,-5,NRC
II.V,-30,NRC
II.VI,0,NRC
III.I,32,NRC
III.II,33,NRC
III.III,84,NRC
IV.I,52,NRC
IV.II,11,NRC
IV.III,23,NRC
IV.IV,3,NRC
IV.V,2,NRC
IV.VI,37,NRC
IV.VII,41,NRC
IV.VIII,26,NRC
V.I,23,NRC
V.II,0,NRC
V.III,8,NRC
V.IV,-6,NRC
V.V,4,NRC
V.VI,-4,NRC
V.VII,28,NRC
