act_scene,sentiment_score,lexicon
I.I,26,Bing
I.II,-28,Bing
I.III,0,Bing
I.IV,74,Bing
II.I,-11,Bing
II.II,40,Bing
II.III,21,Bing
II.IV,20,Bing
III.I,-3,Bing
III.II,27,Bing
IV.I,30,Bing
IV.II,57,Bing
V.I,28,Bing
V.II,50,Bing
V.III,-7,Bing
V.IV,62,Bing
V.NA,5,Bing
I.I,75,AFINN
I.II,0,AFINN
I.III,6,AFINN
I.IV,150,AFINN
II.I,34,AFINN
II.II,85,AFINN
II.III,44,AFINN
II.IV,39,AFINN
III.I,62,AFINN
III.II,187,AFINN
IV.I,61,AFINN
IV.II,110,AFINN
V.I,116,AFINN
V.II,145,AFINN
V.III,23,AFINN
V.IV,132,AFINN
V.NA,7,AFINN
I.I,72,NRC
I.II,27,NRC
I.III,9,NRC
I.IV,81,NRC
II.I,33,NRC
II.II,75,NRC
II.III,35,NRC
II.IV,78,NRC
III.I,59,NRC
III.II,148,NRC
IV.I,75,NRC
IV.II,81,NRC
V.I,69,NRC
V.II,88,NRC
V.III,15,NRC
V.IV,75,NRC
V.NA,3,NRC
