act_scene,sentiment_score,lexicon
I.I,0,Bing
I.II,-2,Bing
I.III,-13,Bing
II.I,-9,Bing
II.II,7,Bing
II.III,2,Bing
II.IV,2,Bing
III.I,-4,Bing
III.II,6,Bing
III.III,-2,Bing
IV.I,2,Bing
IV.II,10,Bing
IV.III,-24,Bing
V.I,2,Bing
V.II,-2,Bing
V.III,4,Bing
V.IV,2,Bing
V.V,16,Bing
I.I,23,AFINN
I.II,42,AFINN
I.III,-8,AFINN
II.I,-22,AFINN
II.II,21,AFINN
II.III,0,AFINN
II.IV,21,AFINN
III.I,8,AFINN
III.II,16,AFINN
III.III,-10,AFINN
IV.I,-9,AFINN
IV.II,14,AFINN
IV.III,23,AFINN
V.I,-10,AFINN
V.III,0,AFINN
V.IV,-10,AFINN
V.V,23,AFINN
I.I,20,NRC
I.II,12,NRC
I.III,1,NRC
II.I,36,NRC
II.II,5,NRC
II.III,4,NRC
II.IV,13,NRC
III.I,31,NRC
III.II,22,NRC
III.III,0,NRC
IV.I,0,NRC
IV.II,24,NRC
IV.III,41,NRC
V.I,-18,NRC
V.II,-1,NRC
V.III,14,NRC
V.IV,10,NRC
V.V,29,NRC
