act_scene,sentiment_score,lexicon
I.I,21,Bing
II.I,59,Bing
III.I,-8,Bing
III.II,-3,Bing
III.III,16,Bing
III.IV,-5,Bing
IV.I,-11,Bing
IV.II,-81,Bing
IV.III,-27,Bing
V.I,-2,Bing
V.II,25,Bing
V.III,-4,Bing
V.IV,-6,Bing
V.V,-4,Bing
V.VI,3,Bing
V.VII,-19,Bing
I.I,98,AFINN
II.I,103,AFINN
III.I,-14,AFINN
III.II,-1,AFINN
III.III,30,AFINN
III.IV,-6,AFINN
IV.I,-6,AFINN
IV.II,-110,AFINN
IV.III,-45,AFINN
V.I,9,AFINN
V.II,40,AFINN
V.III,1,AFINN
V.IV,15,AFINN
V.V,13,AFINN
V.VI,-7,AFINN
V.VII,-2,AFINN
I.I,96,NRC
II.I,109,NRC
III.I,75,NRC
III.II,-3,NRC
III.III,21,NRC
III.IV,-2,NRC
IV.I,4,NRC
IV.II,-15,NRC
IV.III,-2,NRC
V.I,17,NRC
V.II,17,NRC
V.III,0,NRC
V.IV,3,NRC
V.V,1,NRC
V.VI,10,NRC
V.VII,4,NRC
