act_scene,sentiment_score,lexicon
I.I,38,Bing
I.II,-18,Bing
I.III,-9,Bing
I.IV,-19,Bing
I.V,4,Bing
II.I,11,Bing
II.II,-22,Bing
II.III,-11,Bing
II.IV,-32,Bing
III.I,-7,Bing
III.II,-21,Bing
III.III,-8,Bing
III.IV,-59,Bing
III.V,1,Bing
III.VI,-27,Bing
III.VII,-30,Bing
IV.I,-25,Bing
IV.II,-12,Bing
IV.III,-3,Bing
IV.IV,1,Bing
IV.V,0,Bing
IV.VI,-23,Bing
IV.VII,-7,Bing
V.I,9,Bing
V.II,2,Bing
V.III,-21,Bing
I.I,154,AFINN
I.II,6,AFINN
I.III,-12,AFINN
I.IV,-4,AFINN
I.V,0,AFINN
II.I,18,AFINN
II.II,26,AFINN
II.III,-15,AFINN
II.IV,-22,AFINN
III.I,0,AFINN
III.II,-20,AFINN
III.III,-6,AFINN
III.IV,-22,AFINN
III.V,8,AFINN
III.VI,-36,AFINN
III.VII,-5,AFINN
IV.I,-28,AFINN
IV.II,-3,AFINN
IV.III,-15,AFINN
IV.IV,2,AFINN
IV.V,9,AFINN
IV.VI,-36,AFINN
IV.VII,-26,AFINN
V.I,11,AFINN
V.II,2,AFINN
V.III,-23,AFINN
I.I,99,NRC
I.II,27,NRC
I.III,-4,NRC
I.IV,55,NRC
I.V,0,NRC
II.I,37,NRC
II.II,18,NRC
II.III,0,NRC
II.IV,5,NRC
III.I,13,NRC
III.II,1,NRC
III.III,1,NRC
III.IV,-19,NRC
III.V,2,NRC
III.VI,16,NRC
III.VII,-24,NRC
IV.I,3,NRC
IV.II,1,NRC
IV.III,11,NRC
IV.IV,8,NRC
IV.V,8,NRC
IV.VI,11,NRC
IV.VII,17,NRC
V.I,22,NRC
V.II,8,NRC
V.III,35,NRC
