act_scene,sentiment_score,lexicon
I.I,-1,Bing
I.II,-8,Bing
I.III,8,Bing
I.IV,5,Bing
I.V,-2,Bing
I.VI,11,Bing
I.VII,-10,Bing
II.I,-6,Bing
II.II,-25,Bing
II.III,-30,Bing
II.IV,-3,Bing
III.I,3,Bing
III.II,-8,Bing
III.III,-1,Bing
III.IV,1,Bing
III.V,-11,Bing
III.VI,5,Bing
IV.I,-24,Bing
IV.II,-26,Bing
IV.III,-8,Bing
V.I,0,Bing
V.II,-9,Bing
V.III,-17,Bing
V.IV,-2,Bing
V.V,-34,Bing
V.VI,6,Bing
V.VII,-10,Bing
V.VIII,-3,Bing
I.I,4,AFINN
I.II,19,AFINN
I.III,79,AFINN
I.IV,19,AFINN
I.V,21,AFINN
I.VI,26,AFINN
I.VII,-11,AFINN
II.I,7,AFINN
II.II,-32,AFINN
II.III,-33,AFINN
II.IV,-6,AFINN
III.I,28,AFINN
III.II,-20,AFINN
III.III,3,AFINN
III.IV,34,AFINN
III.V,-12,AFINN
III.VI,3,AFINN
IV.I,20,AFINN
IV.II,-46,AFINN
IV.III,36,AFINN
V.I,-7,AFINN
V.II,-3,AFINN
V.III,-19,AFINN
V.IV,5,AFINN
V.V,-17,AFINN
V.VI,2,AFINN
V.VII,-12,AFINN
V.VIII,-5,AFINN
I.I,-2,NRC
I.II,8,NRC
I.III,16,NRC
I.IV,15,NRC
I.V,6,NRC
I.VI,10,NRC
I.VII,1,NRC
II.I,-3,NRC
II.II,-4,NRC
II.III,-7,NRC
II.IV,0,NRC
III.I,23,NRC
III.II,-5,NRC
III.III,-1,NRC
III.IV,20,NRC
III.V,-5,NRC
III.VI,14,NRC
IV.I,-9,NRC
IV.II,-7,NRC
IV.III,13,NRC
V.I,8,NRC
V.II,-2,NRC
V.III,-6,NRC
V.IV,5,NRC
V.V,-5,NRC
V.VI,1,NRC
V.VII,-14,NRC
V.VIII,1,NRC
