act_scene,sentiment_score,lexicon
I.I,25,Bing
I.II,-3,Bing
I.III,-7,Bing
I.IV,5,Bing
II.I,19,Bing
II.II,10,Bing
II.III,-6,Bing
II.IV,-16,Bing
III.I,-4,Bing
III.II,-6,Bing
IV.I,2,Bing
IV.II,-11,Bing
IV.III,17,Bing
IV.IV,-3,Bing
IV.V,3,Bing
IV.VI,-2,Bing
V.I,-37,Bing
I.I,61,AFINN
I.II,12,AFINN
I.III,-6,AFINN
I.IV,29,AFINN
II.I,84,AFINN
II.II,76,AFINN
II.III,-3,AFINN
II.IV,27,AFINN
III.I,36,AFINN
III.II,60,AFINN
IV.I,27,AFINN
IV.II,38,AFINN
IV.III,28,AFINN
IV.IV,-10,AFINN
IV.V,10,AFINN
IV.VI,2,AFINN
V.I,53,AFINN
I.I,22,NRC
I.II,48,NRC
I.III,6,NRC
I.IV,44,NRC
II.I,83,NRC
II.II,23,NRC
II.III,7,NRC
II.IV,-3,NRC
III.I,47,NRC
III.II,87,NRC
IV.I,23,NRC
IV.II,45,NRC
IV.III,54,NRC
IV.IV,3,NRC
IV.V,3,NRC
IV.VI,6,NRC
V.I,101,NRC
