act_scene,sentiment_score,lexicon
I.I,23,Bing
I.II,10,Bing
I.III,17,Bing
II.I,13,Bing
II.II,35,Bing
II.III,-3,Bing
II.IV,9,Bing
II.IX,15,Bing
II.V,-8,Bing
II.VI,27,Bing
II.VII,16,Bing
II.VIII,13,Bing
III.I,-16,Bing
III.II,17,Bing
III.III,-6,Bing
III.IV,13,Bing
III.V,12,Bing
IV.I,-8,Bing
IV.II,4,Bing
V.I,29,Bing
I.I,64,AFINN
I.II,34,AFINN
I.III,50,AFINN
II.I,22,AFINN
II.II,54,AFINN
II.III,-4,AFINN
II.IV,18,AFINN
II.IX,27,AFINN
II.V,-8,AFINN
II.VI,64,AFINN
II.VII,8,AFINN
II.VIII,28,AFINN
III.I,0,AFINN
III.II,143,AFINN
III.III,-10,AFINN
III.IV,41,AFINN
III.V,48,AFINN
IV.I,56,AFINN
IV.II,6,AFINN
V.I,106,AFINN
I.I,56,NRC
I.II,35,NRC
I.III,44,NRC
II.I,19,NRC
II.II,104,NRC
II.III,1,NRC
II.IV,10,NRC
II.IX,30,NRC
II.V,-6,NRC
II.VI,25,NRC
II.VII,17,NRC
II.VIII,21,NRC
III.I,-5,NRC
III.II,82,NRC
III.III,4,NRC
III.IV,27,NRC
III.V,46,NRC
IV.I,61,NRC
IV.II,9,NRC
V.I,85,NRC
