act_scene,sentiment_score,lexicon
I.I,37,Bing
I.II,-2,Bing
I.III,25,Bing
I.IV,50,Bing
II.I,24,Bing
II.II,36,Bing
II.III,10,Bing
III.I,21,Bing
III.II,17,Bing
III.III,-8,Bing
III.IV,40,Bing
III.V,-1,Bing
IV.I,6,Bing
IV.II,-7,Bing
IV.IV,-3,Bing
IV.V,8,Bing
IV.VI,10,Bing
V.I,-3,Bing
V.II,1,Bing
V.III,-2,Bing
V.V,9,Bing
I.I,117,AFINN
I.II,2,AFINN
I.III,39,AFINN
I.IV,78,AFINN
II.I,101,AFINN
II.II,148,AFINN
II.III,-3,AFINN
III.I,58,AFINN
III.II,36,AFINN
III.III,58,AFINN
III.IV,86,AFINN
III.V,8,AFINN
IV.I,5,AFINN
IV.II,-15,AFINN
IV.III,0,AFINN
IV.IV,18,AFINN
IV.V,24,AFINN
IV.VI,23,AFINN
V.I,-6,AFINN
V.II,-3,AFINN
V.III,0,AFINN
V.IV,1,AFINN
V.V,41,AFINN
I.I,116,NRC
I.II,2,NRC
I.III,25,NRC
I.IV,61,NRC
II.I,46,NRC
II.II,87,NRC
II.III,51,NRC
III.I,66,NRC
III.II,38,NRC
III.III,22,NRC
III.IV,72,NRC
III.V,15,NRC
IV.I,9,NRC
IV.II,6,NRC
IV.III,6,NRC
IV.IV,22,NRC
IV.V,41,NRC
IV.VI,36,NRC
V.I,15,NRC
V.II,0,NRC
V.III,6,NRC
V.IV,1,NRC
V.V,52,NRC
