act_scene,sentiment_score,lexicon
I.I,-3,Bing
I.II,8,Bing
I.III,10,Bing
II.I,43,Bing
II.II,12,Bing
II.III,-2,Bing
III.I,14,Bing
III.II,3,Bing
III.III,-10,Bing
III.IV,11,Bing
IV.I,-6,Bing
IV.II,-18,Bing
IV.III,-5,Bing
V.I,-38,Bing
V.II,-104,Bing
I.I,1,AFINN
I.II,27,AFINN
I.III,55,AFINN
II.I,142,AFINN
II.II,19,AFINN
II.III,106,AFINN
III.I,30,AFINN
III.II,3,AFINN
III.III,103,AFINN
III.IV,31,AFINN
IV.I,41,AFINN
IV.II,18,AFINN
IV.III,17,AFINN
V.I,-13,AFINN
V.II,-98,AFINN
I.I,27,NRC
I.II,23,NRC
I.III,79,NRC
II.I,94,NRC
II.II,14,NRC
II.III,83,NRC
III.I,38,NRC
III.II,2,NRC
III.III,40,NRC
III.IV,25,NRC
IV.I,25,NRC
IV.II,11,NRC
IV.III,15,NRC
V.I,-11,NRC
V.II,-58,NRC
