act_scene,sentiment_score,lexicon
I.I,-31,Bing
I.II,-14,Bing
I.III,-14,Bing
I.IV,-1,Bing
II.I,-30,Bing
II.II,-29,Bing
II.III,16,Bing
II.IV,-4,Bing
III.I,-3,Bing
III.II,-58,Bing
III.III,13,Bing
III.IV,-21,Bing
IV.I,-29,Bing
V.I,-19,Bing
V.II,-6,Bing
V.III,6,Bing
V.IV,-3,Bing
V.V,-19,Bing
V.VI,-8,Bing
I.I,30,AFINN
I.II,-19,AFINN
I.III,27,AFINN
I.IV,6,AFINN
II.I,-30,AFINN
II.II,4,AFINN
II.III,77,AFINN
II.IV,-9,AFINN
III.I,2,AFINN
III.II,-73,AFINN
III.III,34,AFINN
III.IV,6,AFINN
IV.I,48,AFINN
V.I,-7,AFINN
V.II,25,AFINN
V.III,77,AFINN
V.IV,-7,AFINN
V.V,5,AFINN
V.VI,-4,AFINN
I.I,11,NRC
I.II,-10,NRC
I.III,46,NRC
I.IV,11,NRC
II.I,-15,NRC
II.II,17,NRC
II.III,60,NRC
II.IV,0,NRC
III.I,5,NRC
III.II,-31,NRC
III.III,40,NRC
III.IV,1,NRC
IV.I,40,NRC
V.I,7,NRC
V.II,10,NRC
V.III,65,NRC
V.IV,-1,NRC
V.V,13,NRC
V.VI,-5,NRC
