act_scene,sentiment_score,lexicon
I.I,70,Bing
I.II,42,Bing
II.I,49,Bing
III.I,12,Bing
III.II,-4,Bing
IV.I,-10,Bing
IV.II,25,Bing
IV.III,13,Bing
IV.IV,32,Bing
IV.V,41,Bing
V.I,2,Bing
V.II,21,Bing
I.I,183,AFINN
I.II,140,AFINN
II.I,102,AFINN
III.I,21,AFINN
III.II,9,AFINN
IV.I,-19,AFINN
IV.II,65,AFINN
IV.III,47,AFINN
IV.IV,40,AFINN
IV.V,74,AFINN
V.I,46,AFINN
V.II,63,AFINN
I.I,123,NRC
I.II,124,NRC
II.I,121,NRC
III.I,14,NRC
III.II,62,NRC
IV.I,21,NRC
IV.II,73,NRC
IV.III,38,NRC
IV.IV,46,NRC
IV.V,60,NRC
V.I,31,NRC
V.II,35,NRC
