act_scene,sentiment_score,lexicon
I.I,87,Bing
I.II,49,Bing
II.I,1,Bing
II.II,-6,Bing
III.I,22,Bing
III.II,22,Bing
III.III,6,Bing
III.IV,2,Bing
III.V,-33,Bing
III.VI,-6,Bing
IV.I,-9,Bing
IV.II,-11,Bing
IV.III,-96,Bing
V.I,34,Bing
V.II,-11,Bing
V.III,-6,Bing
V.IV,-1,Bing
V.V,-30,Bing
I.I,174,AFINN
I.II,173,AFINN
II.I,8,AFINN
II.II,37,AFINN
III.I,27,AFINN
III.II,67,AFINN
III.III,17,AFINN
III.IV,29,AFINN
III.V,-57,AFINN
III.VI,17,AFINN
IV.I,-12,AFINN
IV.II,7,AFINN
IV.III,-69,AFINN
V.I,68,AFINN
V.II,64,AFINN
V.III,-1,AFINN
V.IV,-7,AFINN
V.V,-25,AFINN
I.I,114,NRC
I.II,75,NRC
II.I,2,NRC
II.II,33,NRC
III.I,31,NRC
III.II,40,NRC
III.III,14,NRC
III.IV,22,NRC
III.V,-34,NRC
III.VI,22,NRC
IV.I,2,NRC
IV.II,-1,NRC
IV.III,-18,NRC
V.I,36,NRC
V.II,19,NRC
V.III,-2,NRC
V.IV,0,NRC
V.V,-17,NRC
