act_scene,sentiment_score,lexicon
I.I,112,Bing
II.I,8,Bing
II.II,8,Bing
II.III,-69,Bing
II.IV,4,Bing
III.I,-55,Bing
III.II,-32,Bing
IV.I,-9,Bing
IV.II,-8,Bing
IV.III,6,Bing
IV.IV,-11,Bing
V.I,-24,Bing
V.II,-74,Bing
V.III,-54,Bing
I.I,269,AFINN
II.I,51,AFINN
II.II,19,AFINN
II.III,-57,AFINN
II.IV,20,AFINN
III.I,-64,AFINN
III.II,-75,AFINN
IV.I,-18,AFINN
IV.II,11,AFINN
IV.III,37,AFINN
IV.IV,36,AFINN
V.I,-23,AFINN
V.II,-151,AFINN
V.III,-52,AFINN
I.I,180,NRC
II.I,15,NRC
II.II,10,NRC
II.III,0,NRC
II.IV,1,NRC
III.I,-13,NRC
III.II,3,NRC
IV.I,14,NRC
IV.II,14,NRC
IV.III,34,NRC
IV.IV,16,NRC
V.I,18,NRC
V.II,-49,NRC
V.III,-9,NRC
