act_scene,sentiment_score,lexicon
I.I,3,Bing
I.II,50,Bing
I.III,31,Bing
II.I,-4,Bing
II.II,-22,Bing
II.III,22,Bing
III.I,61,Bing
III.II,0,Bing
III.III,50,Bing
IV.I,7,Bing
IV.II,-18,Bing
IV.III,3,Bing
IV.IV,24,Bing
IV.V,42,Bing
V.I,-3,Bing
V.II,11,Bing
V.III,-3,Bing
V.IV,-11,Bing
V.IX,5,Bing
V.V,-8,Bing
V.VI,5,Bing
V.VII,-17,Bing
V.VIII,-3,Bing
V.X,-23,Bing
I.I,34,AFINN
I.II,81,AFINN
I.III,130,AFINN
II.I,-7,AFINN
II.II,-19,AFINN
II.III,41,AFINN
III.I,175,AFINN
III.II,45,AFINN
III.III,150,AFINN
IV.I,25,AFINN
IV.II,15,AFINN
IV.III,10,AFINN
IV.IV,66,AFINN
IV.V,142,AFINN
V.I,25,AFINN
V.II,18,AFINN
V.III,15,AFINN
V.IV,-11,AFINN
V.IX,10,AFINN
V.V,-10,AFINN
V.VI,6,AFINN
V.VII,-55,AFINN
V.VIII,-2,AFINN
V.X,-37,AFINN
I.I,1,NRC
I.II,72,NRC
I.III,81,NRC
II.I,15,NRC
II.II,3,NRC
II.III,27,NRC
III.I,98,NRC
III.II,70,NRC
III.III,59,NRC
IV.I,17,NRC
IV.II,-4,NRC
IV.III,7,NRC
IV.IV,42,NRC
IV.V,59,NRC
V.I,9,NRC
V.II,35,NRC
V.III,3,NRC
V.IV,-5,NRC
V.IX,3,NRC
V.V,-6,NRC
V.VI,5,NRC
V.VII,-26,NRC
V.VIII,-1,NRC
V.X,-7,NRC
