act_scene,sentiment_score,lexicon
I.I,8,Bing
I.II,13,Bing
I.III,5,Bing
I.IV,10,Bing
I.V,21,Bing
II.I,6,Bing
II.II,0,Bing
II.III,38,Bing
II.IV,29,Bing
II.V,26,Bing
III.I,5,Bing
III.II,6,Bing
III.III,-1,Bing
III.IV,-41,Bing
IV.I,-2,Bing
IV.II,-13,Bing
IV.III,10,Bing
V.I,-31,Bing
I.I,22,AFINN
I.II,33,AFINN
I.III,43,AFINN
I.IV,28,AFINN
I.V,42,AFINN
II.I,-6,AFINN
II.II,0,AFINN
II.III,90,AFINN
II.IV,72,AFINN
II.V,80,AFINN
III.I,30,AFINN
III.II,18,AFINN
III.III,22,AFINN
III.IV,17,AFINN
IV.I,-7,AFINN
IV.II,-29,AFINN
IV.III,-11,AFINN
V.I,-35,AFINN
I.I,11,NRC
I.II,34,NRC
I.III,56,NRC
I.IV,14,NRC
I.V,49,NRC
II.I,13,NRC
II.II,6,NRC
II.III,76,NRC
II.IV,56,NRC
II.V,33,NRC
III.I,59,NRC
III.II,17,NRC
III.III,6,NRC
III.IV,69,NRC
IV.I,6,NRC
IV.II,21,NRC
IV.III,14,NRC
V.I,67,NRC
