act_scene,sentiment_score,lexicon
I.I,19,Bing
I.II,2,Bing
I.III,26,Bing
II.I,44,Bing
II.II,3,Bing
II.III,-10,Bing
II.IV,72,Bing
II.V,13,Bing
II.VI,-3,Bing
II.VII,9,Bing
III.I,21,Bing
III.II,2,Bing
IV.I,-15,Bing
IV.II,26,Bing
IV.III,9,Bing
IV.IV,1,Bing
V.I,0,Bing
V.II,10,Bing
V.III,0,Bing
V.IV,33,Bing
I.I,70,AFINN
I.II,78,AFINN
I.III,64,AFINN
II.I,90,AFINN
II.II,2,AFINN
II.III,-29,AFINN
II.IV,168,AFINN
II.V,9,AFINN
II.VI,14,AFINN
II.VII,28,AFINN
III.I,112,AFINN
III.II,42,AFINN
IV.I,-12,AFINN
IV.II,85,AFINN
IV.III,24,AFINN
IV.IV,50,AFINN
V.I,0,AFINN
V.II,15,AFINN
V.III,-2,AFINN
V.IV,125,AFINN
I.I,58,NRC
I.II,33,NRC
I.III,45,NRC
II.I,59,NRC
II.II,11,NRC
II.III,-11,NRC
II.IV,79,NRC
II.V,21,NRC
II.VI,13,NRC
II.VII,24,NRC
III.I,82,NRC
III.II,28,NRC
IV.I,14,NRC
IV.II,66,NRC
IV.III,20,NRC
IV.IV,37,NRC
V.I,5,NRC
V.II,14,NRC
V.III,4,NRC
V.IV,44,NRC
