act_scene,sentiment_score,lexicon
I.I,12,Bing
I.II,1,Bing
II.I,-6,Bing
II.II,11,Bing
II.III,-24,Bing
III.I,13,Bing
III.II,-53,Bing
III.III,3,Bing
IV.I,4,Bing
IV.II,1,Bing
IV.III,4,Bing
IV.IV,58,Bing
V.I,40,Bing
V.II,12,Bing
V.III,15,Bing
I.I,32,AFINN
I.II,90,AFINN
II.I,25,AFINN
II.II,36,AFINN
II.III,10,AFINN
III.I,23,AFINN
III.II,-35,AFINN
III.III,3,AFINN
IV.I,4,AFINN
IV.II,3,AFINN
IV.III,14,AFINN
IV.IV,212,AFINN
V.I,102,AFINN
V.II,18,AFINN
V.III,33,AFINN
I.I,22,NRC
I.II,65,NRC
II.I,29,NRC
II.II,23,NRC
II.III,9,NRC
III.I,15,NRC
III.II,18,NRC
III.III,30,NRC
IV.I,2,NRC
IV.II,17,NRC
IV.III,29,NRC
IV.IV,238,NRC
V.I,92,NRC
V.II,101,NRC
V.III,44,NRC
